2026-04-25 21:45:21 | INFO     | src.utils.seed_control | Global seed set to 42
2026-04-25 21:45:21 | INFO     | src.utils.seed_control | NumPy seed set.
2026-04-25 21:45:21 | INFO     | src.utils.seed_control | PyTorch seed set.
2026-04-25 21:45:25 | INFO     | src.utils.seed_control | HuggingFace transformers seed set.
2026-04-25 21:45:25 | INFO     | __main__ | === Matched Intervention Run: model=gemma_vl ===
2026-04-25 21:45:25 | INFO     | __main__ | Loading decomposition results from results/decomposition/gemma_vl/vizwiz.jsonl
2026-04-25 21:45:25 | INFO     | __main__ | Loaded 4319 decomposition results
2026-04-25 21:45:25 | INFO     | __main__ | Loading model: gemma_vl
2026-04-25 21:45:25 | INFO     | src.models.gemma_vl | Loading Gemma 4 model: /home/models/gemma-4-E4B-it
2026-04-25 21:45:25 | INFO     | src.models.gemma_vl | Pinning model to cuda:3
2026-04-25 21:45:33 | INFO     | src.models.gemma_vl | Gemma 4 loaded. model=/home/models/gemma-4-E4B-it, device=cuda:3, dtype=bfloat16
2026-04-25 21:45:33 | INFO     | __main__ | Model loaded.
2026-04-25 21:45:33 | INFO     | experiment.intervention_gemma_vl | ExperimentLogger initialized: results/intervention/gemma_vl/vizwiz.jsonl (experiment='intervention_gemma_vl')
2026-04-25 21:45:33 | INFO     | __main__ | Processing sample 0/4319...
2026-04-25 21:46:15 | INFO     | __main__ | Processing sample 50/4319...
2026-04-25 21:46:58 | INFO     | __main__ | Processing sample 100/4319...
2026-04-25 21:47:35 | INFO     | __main__ | Processing sample 150/4319...
2026-04-25 21:48:11 | INFO     | __main__ | Processing sample 200/4319...
2026-04-25 21:48:59 | INFO     | __main__ | Processing sample 250/4319...
2026-04-25 21:49:44 | INFO     | __main__ | Processing sample 300/4319...
2026-04-25 21:50:17 | INFO     | __main__ | Processing sample 350/4319...
2026-04-25 21:51:22 | INFO     | __main__ | Processing sample 400/4319...
2026-04-25 21:52:17 | INFO     | __main__ | Processing sample 450/4319...
2026-04-25 21:53:09 | INFO     | __main__ | Processing sample 500/4319...
2026-04-25 21:54:20 | INFO     | __main__ | Processing sample 550/4319...
2026-04-25 21:55:02 | INFO     | __main__ | Processing sample 600/4319...
2026-04-25 21:55:52 | INFO     | __main__ | Processing sample 650/4319...
2026-04-25 21:56:30 | INFO     | __main__ | Processing sample 700/4319...
2026-04-25 21:57:25 | INFO     | __main__ | Processing sample 750/4319...
2026-04-25 21:58:29 | INFO     | __main__ | Processing sample 800/4319...
2026-04-25 21:59:27 | INFO     | __main__ | Processing sample 850/4319...
2026-04-25 22:00:13 | INFO     | __main__ | Processing sample 900/4319...
2026-04-25 22:00:57 | INFO     | __main__ | Processing sample 950/4319...
2026-04-25 22:01:57 | INFO     | __main__ | Processing sample 1000/4319...
2026-04-25 22:03:15 | INFO     | __main__ | Processing sample 1050/4319...
2026-04-25 22:04:09 | INFO     | __main__ | Processing sample 1100/4319...
2026-04-25 22:05:03 | INFO     | __main__ | Processing sample 1150/4319...
2026-04-25 22:05:45 | INFO     | __main__ | Processing sample 1200/4319...
2026-04-25 22:06:20 | INFO     | __main__ | Processing sample 1250/4319...
2026-04-25 22:06:55 | INFO     | __main__ | Processing sample 1300/4319...
2026-04-25 22:07:31 | INFO     | __main__ | Processing sample 1350/4319...
2026-04-25 22:07:59 | INFO     | __main__ | Processing sample 1400/4319...
2026-04-25 22:08:32 | INFO     | __main__ | Processing sample 1450/4319...
2026-04-25 22:09:00 | INFO     | __main__ | Processing sample 1500/4319...
2026-04-25 22:09:43 | INFO     | __main__ | Processing sample 1550/4319...
2026-04-25 22:10:15 | INFO     | __main__ | Processing sample 1600/4319...
2026-04-25 22:10:44 | INFO     | __main__ | Processing sample 1650/4319...
2026-04-25 22:11:15 | INFO     | __main__ | Processing sample 1700/4319...
2026-04-25 22:11:48 | INFO     | __main__ | Processing sample 1750/4319...
2026-04-25 22:12:18 | INFO     | __main__ | Processing sample 1800/4319...
2026-04-25 22:12:46 | INFO     | __main__ | Processing sample 1850/4319...
2026-04-25 22:13:18 | INFO     | __main__ | Processing sample 1900/4319...
2026-04-25 22:13:50 | INFO     | __main__ | Processing sample 1950/4319...
2026-04-25 22:14:23 | INFO     | __main__ | Processing sample 2000/4319...
2026-04-25 22:14:51 | INFO     | __main__ | Processing sample 2050/4319...
2026-04-25 22:15:19 | INFO     | __main__ | Processing sample 2100/4319...
2026-04-25 22:15:51 | INFO     | __main__ | Processing sample 2150/4319...
2026-04-25 22:16:23 | INFO     | __main__ | Processing sample 2200/4319...
